Passenger_ID,Gender,Travel_Class,Frequent_Flyer,Age,Flight_Status,Flight_Duration_Hrs,Feedback,Service_Area,Sentiment
2094,Male,Economy,Yes,40.02,On Time,12.5,"Fantastic experience, loved the in-flight entertainment!",Boarding,1
2095,Male,Business,No,69.39,Delayed,14.1,Service was decent but food could be better.,Boarding,0
2096,Female,Business,Yes,40.64,Delayed,10.5,"Seats were cramped, not comfortable.",In-flight Service,0
2097,Female,Premium Economy,No,69.86,On Time,2.9,Service was decent but food could be better.,Boarding,0
2098,Female,Premium Economy,Yes,50.62,On Time,11.1,Boarding was chaotic and unorganized.,Ground Service,0
2099,Female,Premium Economy,No,61.37,On Time,7.4,"Nothing special, average service.",Check-in,0
2100,Male,Economy,No,31.41,On Time,11.0,Boarding was chaotic and unorganized.,Customer Support,0
2101,Female,Economy,No,65.36,On Time,8.3,"Fantastic experience, loved the in-flight entertainment!",In-flight Service,1
2102,Female,Premium Economy,Yes,65.54,On Time,1.1,Service was decent but food could be better.,Customer Support,0
2103,Female,Premium Economy,Yes,21.48,Cancelled,14.1,"Nothing special, average service.",Ground Service,0
2104,Male,Business,No,38.18,Cancelled,10.6,Unhappy with how luggage was handled.,In-flight Service,0
2105,Female,Business,No,38.66,Delayed,9.3,Flight was delayed and no proper updates.,Luggage Handling,0
2106,Male,Business,No,34.96,Delayed,2.2,"Nothing special, average service.",Ground Service,0
2107,Male,Business,No,32.36,Delayed,7.5,Very courteous staff and smooth check-in process.,Luggage Handling,1
2108,Male,Premium Economy,Yes,41.82,Delayed,1.6,Boarding was chaotic and unorganized.,Customer Support,0
2109,Female,Premium Economy,No,63.42,Cancelled,8.3,"Seats were cramped, not comfortable.",Check-in,0
2110,Female,Premium Economy,Yes,58.9,On Time,10.2,Flight was delayed and no proper updates.,Luggage Handling,0
2111,Male,Economy,No,50.4,On Time,5.4,Flight was delayed and no proper updates.,Boarding,0
2112,Female,Premium Economy,Yes,45.17,On Time,9.1,Service was decent but food could be better.,Check-in,0
2113,Male,Economy,No,39.82,Cancelled,5.4,Service was decent but food could be better.,In-flight Service,0
2114,Female,Economy,Yes,39.55,Cancelled,13.5,"Seats were cramped, not comfortable.",Customer Support,0
2115,Female,Business,No,25.71,Delayed,5.5,Boarding was chaotic and unorganized.,In-flight Service,0
2116,Male,Premium Economy,No,48.57,Cancelled,3.7,"Seats were cramped, not comfortable.",Check-in,0
2117,Female,Business,No,57.44,On Time,4.9,"Seats were cramped, not comfortable.",Check-in,0
2118,Female,Premium Economy,Yes,66.86,Delayed,5.5,"Seats were cramped, not comfortable.",Customer Support,0
2119,Male,Business,Yes,66.1,On Time,7.2,Unhappy with how luggage was handled.,Ground Service,0
2120,Female,Business,Yes,47.26,Cancelled,2.6,Unhappy with how luggage was handled.,Ground Service,0
2121,Female,Business,No,23.25,Delayed,3.1,"Nothing special, average service.",In-flight Service,0
2122,Female,Business,Yes,32.88,On Time,4.8,"Fantastic experience, loved the in-flight entertainment!",In-flight Service,1
2123,Female,Premium Economy,No,45.85,Delayed,1.2,Flight was delayed and no proper updates.,Ground Service,0
2124,Male,Premium Economy,Yes,35.88,On Time,9.7,"Seats were cramped, not comfortable.",In-flight Service,0
2125,Male,Economy,No,39.37,On Time,8.2,Service was decent but food could be better.,Ground Service,0
2126,Male,Business,Yes,37.92,On Time,3.9,Really impressed with the cleanliness and hospitality.,In-flight Service,1
2127,Female,Business,No,43.25,Cancelled,5.9,Flight was delayed and no proper updates.,Ground Service,0
2128,Female,Economy,No,49.67,Cancelled,5.5,Boarding was chaotic and unorganized.,Check-in,0
2129,Female,Economy,No,19.95,Cancelled,3.0,Very courteous staff and smooth check-in process.,Ground Service,1
2130,Male,Business,No,32.32,Cancelled,10.9,"Nothing special, average service.",Boarding,0
2131,Male,Economy,Yes,25.48,Cancelled,5.0,Service was decent but food could be better.,Ground Service,0
2132,Female,Premium Economy,Yes,49.65,Delayed,4.4,Everything was perfect!,In-flight Service,1
2133,Female,Economy,Yes,54.07,Cancelled,2.0,"Seats were cramped, not comfortable.",In-flight Service,0
2134,Male,Business,Yes,20.02,Cancelled,9.6,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2135,Male,Premium Economy,No,64.26,Delayed,5.7,Everything was perfect!,Ground Service,1
2136,Male,Premium Economy,No,35.24,Cancelled,7.2,Very courteous staff and smooth check-in process.,Check-in,1
2137,Female,Economy,Yes,30.35,Cancelled,2.8,Really impressed with the cleanliness and hospitality.,Ground Service,1
2138,Female,Premium Economy,Yes,56.78,Cancelled,7.6,"Seats were cramped, not comfortable.",Check-in,0
2139,Male,Economy,Yes,65.88,Delayed,10.5,Boarding was chaotic and unorganized.,Luggage Handling,0
2140,Male,Business,Yes,64.65,Delayed,2.5,Very courteous staff and smooth check-in process.,In-flight Service,1
2141,Female,Economy,No,19.05,Delayed,1.8,"Seats were cramped, not comfortable.",Ground Service,0
2142,Male,Premium Economy,No,60.5,On Time,7.0,Very courteous staff and smooth check-in process.,Luggage Handling,1
2143,Female,Premium Economy,Yes,33.76,On Time,3.5,Really impressed with the cleanliness and hospitality.,Boarding,1
2144,Male,Premium Economy,No,32.58,On Time,9.3,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2145,Male,Business,No,43.56,Delayed,9.3,"Seats were cramped, not comfortable.",Luggage Handling,0
2146,Female,Business,No,54.2,Cancelled,12.7,Very courteous staff and smooth check-in process.,Check-in,1
2147,Female,Premium Economy,No,23.11,Cancelled,10.8,"Nothing special, average service.",In-flight Service,0
2148,Male,Economy,No,63.18,On Time,9.6,"Seats were cramped, not comfortable.",In-flight Service,0
2149,Male,Economy,Yes,24.99,On Time,5.4,Boarding was chaotic and unorganized.,Check-in,0
2150,Female,Economy,Yes,68.66,Cancelled,12.4,Boarding was chaotic and unorganized.,Check-in,0
2151,Female,Premium Economy,No,41.04,Delayed,11.0,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2152,Male,Business,Yes,60.94,On Time,10.4,Boarding was chaotic and unorganized.,Check-in,0
2153,Female,Economy,Yes,32.01,Cancelled,8.5,Flight was delayed and no proper updates.,Ground Service,0
2154,Male,Premium Economy,Yes,39.67,On Time,14.6,"Nothing special, average service.",Customer Support,0
2155,Male,Premium Economy,Yes,51.57,On Time,11.6,Boarding was chaotic and unorganized.,Ground Service,0
2156,Male,Premium Economy,Yes,27.77,Cancelled,7.5,"Seats were cramped, not comfortable.",Customer Support,0
2157,Female,Economy,No,28.99,Cancelled,2.8,Everything was perfect!,Luggage Handling,1
2158,Male,Business,No,60.85,On Time,12.4,Unhappy with how luggage was handled.,Ground Service,0
2159,Male,Economy,No,56.53,Cancelled,13.9,Service was decent but food could be better.,Boarding,0
2160,Male,Premium Economy,Yes,57.49,Delayed,7.6,Unhappy with how luggage was handled.,Luggage Handling,0
2161,Female,Economy,No,63.09,Delayed,7.4,"Nothing special, average service.",Ground Service,0
2162,Male,Business,Yes,60.69,Cancelled,10.6,Service was decent but food could be better.,Check-in,0
2163,Female,Premium Economy,Yes,44.79,On Time,10.9,Unhappy with how luggage was handled.,In-flight Service,0
2164,Female,Business,No,26.27,Cancelled,7.5,Really impressed with the cleanliness and hospitality.,Boarding,1
2165,Male,Economy,No,34.18,Cancelled,4.2,Very courteous staff and smooth check-in process.,Ground Service,1
2166,Male,Premium Economy,Yes,44.35,Cancelled,4.1,Very courteous staff and smooth check-in process.,Customer Support,1
2167,Female,Premium Economy,Yes,25.05,Delayed,13.1,Really impressed with the cleanliness and hospitality.,Check-in,1
2168,Male,Economy,Yes,62.27,On Time,9.6,Very courteous staff and smooth check-in process.,Customer Support,1
2169,Male,Economy,No,63.73,Cancelled,13.8,Very courteous staff and smooth check-in process.,Luggage Handling,1
2170,Female,Economy,No,19.51,Cancelled,6.5,Service was decent but food could be better.,Boarding,0
2171,Female,Economy,No,28.02,On Time,10.8,Unhappy with how luggage was handled.,Check-in,0
2172,Male,Economy,Yes,61.31,On Time,10.3,"Seats were cramped, not comfortable.",Customer Support,0
2173,Female,Economy,No,61.52,On Time,12.0,Service was decent but food could be better.,Check-in,0
2174,Female,Economy,Yes,30.97,Delayed,13.4,Very courteous staff and smooth check-in process.,In-flight Service,1
2175,Male,Business,No,41.74,On Time,7.3,Really impressed with the cleanliness and hospitality.,Check-in,1
2176,Male,Economy,No,65.74,On Time,1.4,"Seats were cramped, not comfortable.",Luggage Handling,0
2177,Male,Premium Economy,No,54.64,Cancelled,7.7,"Fantastic experience, loved the in-flight entertainment!",Ground Service,1
2178,Male,Business,No,32.25,Cancelled,5.9,"Fantastic experience, loved the in-flight entertainment!",Customer Support,1
2179,Male,Premium Economy,Yes,60.82,Delayed,7.5,"Fantastic experience, loved the in-flight entertainment!",In-flight Service,1
2180,Female,Business,Yes,44.27,Delayed,3.4,Really impressed with the cleanliness and hospitality.,Customer Support,1
2181,Female,Business,Yes,51.04,Cancelled,11.8,Boarding was chaotic and unorganized.,Check-in,0
2182,Female,Economy,Yes,24.44,Delayed,9.5,Flight was delayed and no proper updates.,Boarding,0
2183,Male,Business,No,19.59,On Time,2.8,Really impressed with the cleanliness and hospitality.,Customer Support,1
2184,Male,Economy,Yes,37.37,Delayed,2.4,"Seats were cramped, not comfortable.",Check-in,0
2185,Male,Economy,No,48.89,Delayed,12.4,Really impressed with the cleanliness and hospitality.,Check-in,1
2186,Female,Business,Yes,27.23,Delayed,12.2,"Fantastic experience, loved the in-flight entertainment!",Boarding,1
2187,Male,Business,No,63.27,Cancelled,5.6,"Fantastic experience, loved the in-flight entertainment!",Boarding,1
2188,Male,Premium Economy,Yes,48.52,Cancelled,10.1,Unhappy with how luggage was handled.,Boarding,0
2189,Male,Premium Economy,No,36.19,Cancelled,12.1,Unhappy with how luggage was handled.,In-flight Service,0
2190,Male,Business,No,26.5,Delayed,8.5,Unhappy with how luggage was handled.,Luggage Handling,0
2191,Male,Premium Economy,No,64.51,Cancelled,6.6,Service was decent but food could be better.,Boarding,0
2192,Male,Economy,No,56.95,Cancelled,6.8,Really impressed with the cleanliness and hospitality.,Ground Service,1
2193,Female,Economy,Yes,53.82,On Time,9.7,Very courteous staff and smooth check-in process.,Check-in,1
2194,Male,Economy,Yes,32.82,On Time,8.7,Service was decent but food could be better.,In-flight Service,0
2195,Female,Business,No,38.1,Delayed,14.6,Flight was delayed and no proper updates.,In-flight Service,0
2196,Female,Premium Economy,Yes,26.47,On Time,6.4,Everything was perfect!,Boarding,1
2197,Male,Business,No,47.76,Cancelled,5.8,"Nothing special, average service.",Ground Service,0
2198,Female,Business,No,68.18,Delayed,12.4,Boarding was chaotic and unorganized.,Check-in,0
2199,Female,Economy,Yes,62.57,Delayed,9.3,"Fantastic experience, loved the in-flight entertainment!",Boarding,1
2200,Female,Business,No,51.66,Delayed,12.0,Very courteous staff and smooth check-in process.,Customer Support,1
2201,Female,Economy,Yes,53.24,Delayed,7.1,Boarding was chaotic and unorganized.,Ground Service,0
2202,Female,Premium Economy,Yes,31.99,Cancelled,12.0,Flight was delayed and no proper updates.,Luggage Handling,0
2203,Male,Premium Economy,No,39.29,On Time,8.6,Flight was delayed and no proper updates.,Check-in,0
2204,Male,Premium Economy,Yes,19.04,Cancelled,4.3,Flight was delayed and no proper updates.,Ground Service,0
2205,Male,Economy,Yes,58.58,Cancelled,10.3,Very courteous staff and smooth check-in process.,Luggage Handling,1
2206,Male,Premium Economy,No,57.91,Delayed,2.1,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2207,Male,Economy,Yes,18.46,Cancelled,14.0,"Nothing special, average service.",Ground Service,0
2208,Male,Economy,No,65.4,On Time,9.0,Everything was perfect!,Customer Support,1
2209,Female,Premium Economy,No,51.66,On Time,7.8,Flight was delayed and no proper updates.,Check-in,0
2210,Male,Economy,Yes,49.26,Delayed,9.3,Unhappy with how luggage was handled.,Check-in,0
2211,Female,Premium Economy,No,18.44,On Time,7.5,Very courteous staff and smooth check-in process.,Boarding,1
2212,Male,Business,No,31.12,Delayed,8.8,"Seats were cramped, not comfortable.",In-flight Service,0
2213,Male,Premium Economy,No,59.86,On Time,12.5,Unhappy with how luggage was handled.,Luggage Handling,0
2214,Female,Business,Yes,33.88,Delayed,3.5,Very courteous staff and smooth check-in process.,Boarding,1
2215,Female,Business,Yes,68.29,On Time,14.4,"Seats were cramped, not comfortable.",In-flight Service,0
2216,Female,Business,No,51.42,Delayed,2.0,Really impressed with the cleanliness and hospitality.,Check-in,1
2217,Female,Economy,No,40.04,Delayed,2.5,Really impressed with the cleanliness and hospitality.,Customer Support,1
2218,Male,Economy,No,37.58,Delayed,12.4,Really impressed with the cleanliness and hospitality.,Luggage Handling,1
2219,Male,Economy,Yes,36.13,Delayed,11.8,"Nothing special, average service.",Check-in,0
2220,Female,Premium Economy,Yes,31.1,On Time,6.3,Very courteous staff and smooth check-in process.,Customer Support,1
2221,Female,Business,Yes,42.27,Cancelled,7.9,Everything was perfect!,Luggage Handling,1
2222,Female,Premium Economy,Yes,53.21,Delayed,10.2,"Nothing special, average service.",Luggage Handling,0
2223,Female,Economy,Yes,60.86,Cancelled,2.3,Flight was delayed and no proper updates.,Boarding,0
2224,Male,Business,Yes,38.65,On Time,12.4,Very courteous staff and smooth check-in process.,Luggage Handling,1
2225,Female,Premium Economy,Yes,23.32,On Time,13.4,Boarding was chaotic and unorganized.,Boarding,0
2226,Female,Business,Yes,44.6,On Time,13.6,Really impressed with the cleanliness and hospitality.,In-flight Service,1
2227,Female,Business,Yes,52.44,Delayed,9.9,Flight was delayed and no proper updates.,In-flight Service,0
2228,Male,Premium Economy,No,61.85,On Time,1.0,Boarding was chaotic and unorganized.,Luggage Handling,0
2229,Female,Business,Yes,37.46,On Time,3.1,Flight was delayed and no proper updates.,Luggage Handling,0
2230,Male,Premium Economy,Yes,51.66,On Time,3.1,"Fantastic experience, loved the in-flight entertainment!",Luggage Handling,1
2231,Male,Premium Economy,Yes,49.67,On Time,8.4,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2232,Female,Premium Economy,Yes,33.52,Delayed,6.5,Everything was perfect!,Luggage Handling,1
2233,Female,Business,No,23.62,Delayed,9.1,Flight was delayed and no proper updates.,Luggage Handling,0
2234,Male,Premium Economy,Yes,21.32,On Time,3.7,Unhappy with how luggage was handled.,Check-in,0
2235,Male,Economy,Yes,69.39,Cancelled,10.5,"Fantastic experience, loved the in-flight entertainment!",Ground Service,1
2236,Female,Economy,Yes,51.31,On Time,5.4,Everything was perfect!,Luggage Handling,1
2237,Male,Premium Economy,Yes,62.8,Cancelled,9.0,Flight was delayed and no proper updates.,Luggage Handling,0
2238,Female,Economy,Yes,31.58,On Time,13.8,"Fantastic experience, loved the in-flight entertainment!",In-flight Service,1
2239,Female,Economy,No,54.98,Delayed,5.3,Flight was delayed and no proper updates.,Check-in,0
2240,Male,Economy,No,64.4,Cancelled,14.2,Flight was delayed and no proper updates.,Customer Support,0
2241,Female,Premium Economy,No,33.54,Cancelled,7.1,Flight was delayed and no proper updates.,Check-in,0
2242,Female,Economy,No,25.8,Delayed,14.8,Really impressed with the cleanliness and hospitality.,Ground Service,1
2243,Female,Premium Economy,Yes,57.8,Cancelled,5.8,Service was decent but food could be better.,In-flight Service,0
2244,Male,Economy,Yes,64.78,Cancelled,2.3,Really impressed with the cleanliness and hospitality.,Ground Service,1
2245,Female,Business,Yes,59.88,On Time,1.1,"Nothing special, average service.",Customer Support,0
2246,Male,Economy,Yes,59.72,Delayed,14.8,Boarding was chaotic and unorganized.,Check-in,0
2247,Male,Business,Yes,49.2,Delayed,6.7,"Fantastic experience, loved the in-flight entertainment!",In-flight Service,1
2248,Female,Business,Yes,52.35,Delayed,2.8,Flight was delayed and no proper updates.,Boarding,0
2249,Male,Premium Economy,Yes,53.4,Cancelled,5.1,Flight was delayed and no proper updates.,Ground Service,0
2250,Male,Premium Economy,Yes,55.51,On Time,6.2,"Fantastic experience, loved the in-flight entertainment!",Luggage Handling,1
2251,Female,Premium Economy,Yes,52.08,Cancelled,8.7,Flight was delayed and no proper updates.,Ground Service,0
2252,Male,Premium Economy,Yes,69.87,Delayed,1.7,Very courteous staff and smooth check-in process.,Check-in,1
2253,Male,Business,Yes,31.49,Delayed,10.8,Everything was perfect!,Check-in,1
2254,Female,Business,Yes,39.77,Delayed,12.5,"Nothing special, average service.",Ground Service,0
2255,Female,Premium Economy,No,38.19,Delayed,6.0,Boarding was chaotic and unorganized.,Customer Support,0
2256,Male,Business,No,19.84,Delayed,13.1,Service was decent but food could be better.,Luggage Handling,0
2257,Male,Premium Economy,Yes,54.82,Delayed,13.1,Really impressed with the cleanliness and hospitality.,Ground Service,1
2258,Male,Economy,Yes,47.75,Cancelled,4.3,"Nothing special, average service.",Ground Service,0
2259,Female,Premium Economy,Yes,27.88,On Time,10.8,Boarding was chaotic and unorganized.,Luggage Handling,0
2260,Female,Economy,No,55.78,On Time,6.5,Flight was delayed and no proper updates.,Check-in,0
2261,Female,Economy,Yes,29.56,On Time,5.5,Flight was delayed and no proper updates.,Customer Support,0
2262,Male,Economy,No,45.8,Cancelled,6.4,"Nothing special, average service.",Boarding,0
2263,Male,Business,No,58.81,Cancelled,6.3,Everything was perfect!,Check-in,1
2264,Female,Premium Economy,Yes,65.14,On Time,8.6,"Seats were cramped, not comfortable.",Boarding,0
2265,Female,Business,Yes,52.94,Delayed,10.3,Really impressed with the cleanliness and hospitality.,Boarding,1
2266,Female,Premium Economy,No,44.38,Delayed,7.6,Flight was delayed and no proper updates.,Boarding,0
2267,Female,Economy,No,61.96,On Time,3.6,"Nothing special, average service.",Luggage Handling,0
2268,Female,Economy,No,61.71,Cancelled,6.4,Unhappy with how luggage was handled.,Boarding,0
2269,Male,Premium Economy,Yes,63.58,Delayed,13.9,Flight was delayed and no proper updates.,In-flight Service,0
2270,Female,Premium Economy,Yes,27.42,Cancelled,12.8,Really impressed with the cleanliness and hospitality.,In-flight Service,1
2271,Male,Premium Economy,No,23.08,Delayed,3.2,Flight was delayed and no proper updates.,In-flight Service,0
2272,Female,Economy,Yes,24.65,Cancelled,15.0,Very courteous staff and smooth check-in process.,Ground Service,1
2273,Female,Premium Economy,Yes,31.45,Cancelled,10.4,Very courteous staff and smooth check-in process.,Boarding,1
2274,Male,Economy,No,60.03,Delayed,2.9,Everything was perfect!,Ground Service,1
